    100553  Upsilon'                            0  0  0    10.02330     0.00000     0.00000  0.00000E+00  0  1
              1    0    0.019000        11       -11         0         0         0
              1    0    0.019300        13       -13         0         0         0
              1    0    0.020000        15       -15         0         0         0
              1   32    0.008000         1        -1         0         0         0
              1   32    0.024000         2        -2         0         0         0
              1   32    0.008000         3        -3         0         0         0
              1   32    0.024000         4        -4         0         0         0
              1    4    0.346000        21        21        21         0         0
              1    4    0.088000        22        21        21         0         0
              1    0    0.179200       553       211      -211         0         0
              1    0    0.086000       553       111       111         0         0
              1    0    0.038000     10551        22         0         0         0
              1    0    0.069000     20553        22         0         0         0
              1    0    0.071500       555        22         0         0         0
    200553  Upsi-3s                             0  0  0    10.35520     0.00000     0.00000  0.00000E+00  0  1
              1    0    0.020000        11       -11         0         0         0
              1    0    0.021800        13       -13         0         0         0
              1    0    0.022900        15       -15         0         0         0
              1    0    0.043700       553       211      -211         0         0
              1    0    0.022000       553       111       111         0         0
              1    0    0.050000    100553        22        22         0         0
              1    0    0.028200    100553       211      -211         0         0
              1    0    0.018500    100553       111       111         0         0
              1    0    0.126000    120553        22         0         0         0
              1    0    0.131000    100555        22         0         0         0
              1   12    0.515900       82       -82         0         0         0
     10551  chi_0b                              0  0  0     9.85980     0.00000     0.00000  0.00000E+00  0  1
              1    0    0.017600       553        22         0         0         0
              1   32    0.982400        21        21         0         0         0
     20553  chi_1b                              0  0  0     9.89190     0.00000     0.00000  0.00000E+00  0  1
              1    0    0.339000       553        22         0         0         0
              1   32    0.661000        21        21         0         0         0
       555  chi_2b                              0  0  0     9.91320     0.00000     0.00000  0.00000E+00  0  1
              1    0    0.191000       553        22         0         0         0
              1   32    0.809000        21        21         0         0         0
    110551  chi_0b2P                            0  0  0    10.2325     0.00000     0.00000  0.00000E+00  0  1
              1    0    0.046000    100553        22         0         0         0
              1   32    0.954000        21        21         0         0         0
    120553  chi_1b2P                            0  0  0    10.2555     0.00000     0.00000  0.00000E+00  0  1
              1    0    0.199000    100553        22         0         0         0
              1    0    0.092000       553        22         0         0         0
              1    0    0.016000       553       223         0         0         0
              1   32    0.693000        21        21         0         0         0
    100555  chi_2b2P                            0  0  0    10.2687     0.00000     0.00000  0.00000E+00  0  1
              1    0    0.106000    100553        22         0         0         0
              1    0    0.070000       553        22         0         0         0
              1    0    0.011000       553       223         0         0         0
              1   32    0.813000        21        21         0         0         0
    210551  chi_0b3P                            0  0  0    10.525      0.00000     0.00000  0.00000E+00  0  1
              1    0    0.00        200553        22         0         0         0
              1   32    1.0             21        21         0         0         0
    220553  chi_1b3P                            0  0  0    10.525      0.00000     0.00000  0.00000E+00  0  1
              1    0    0.09        200553        22         0         0         0
              1   32    0.91            21        21         0         0         0
    200555  chi_2b3P                            0  0  0    10.525      0.00000     0.00000  0.00000E+00  0  1
              1    0    0.06        200553        22         0         0         0
              1   32    0.94            21        21         0         0         0
